year,month,carrier,carrier_name,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2020,12,OO,SkyWest Airlines,ITnUc.S,462.0,59.0,38.0,9.0,1.0,0.0,11.0,0.0,0.0,3411.0,1995.0,813.0,39.0,0.0,564.0
2020,12,OO,SkyWest Airlines,ITnVc.C,90.0,16.0,12.0,4.0,0.0,0.0,0.0,2.0,0.0,2326.0,1535.0,791.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ITnWc.F,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,326.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ITnYc.S,47.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,200.0,143.0,0.0,0.0,0.0,57.0
2020,12,OO,SkyWest Airlines,IVnCc.T,53.0,6.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,1760.0,1614.0,58.0,0.0,0.0,88.0
2020,12,OO,SkyWest Airlines,IVnEc.L,53.0,6.0,2.0,3.0,0.0,0.0,1.0,3.0,4.0,346.0,61.0,224.0,0.0,0.0,61.0
2020,12,OO,SkyWest Airlines,IVnPc.S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IXnNc.A,31.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,99.0,64.0,35.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IXnWc.A,57.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,316.0,237.0,0.0,0.0,0.0,79.0
2020,12,OO,SkyWest Airlines,IYnUc.M,125.0,13.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,1095.0,410.0,0.0,0.0,0.0,685.0
2020,12,UA,United Air Lines I,nAcN.C,35.0,7.0,3.6,0.0,2.73,0.0,0.67,0.0,0.0,349.0,231.0,0.0,90.0,0.0,28.0
2020,12,UA,United Air Lines I,nAcT.L,164.0,4.0,10.31,0.0,9.07,0.0,4.62,1.0,0.0,1097.0,537.0,0.0,302.0,0.0,258.0
2020,12,UA,United Air Lines I,nAcU.S,294.0,32.0,15.73,1.0,8.27,0.0,7.0,1.0,1.0,1720.0,706.0,26.0,323.0,0.0,665.0
2020,12,UA,United Air Lines I,nBcD.L,33.0,10.0,4.65,0.0,2.72,0.0,2.63,1.0,0.0,549.0,300.0,0.0,73.0,0.0,176.0
2020,12,UA,United Air Lines I,nBcI.L,55.0,9.0,3.06,0.0,1.41,0.0,4.53,0.0,0.0,535.0,172.0,0.0,51.0,0.0,312.0
